Joueur;Poste;Cote;Var cote;Cote prédite;Enchère moy;% achat;% achat tour 1;Q2 Toutes tailles;Q3 Toutes tailles;Q2 à 6 joueurs;Q3 à 6 joueurs;Q2 à 8 joueurs;Q3 à 8 joueurs;Q2 à 10 joueurs;Q3 à 10 joueurs;Note;Note série;Note 1 an;Note M11;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;j18;j17;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Tirs;Tirs cadrés;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;Poss Def;Poss Mil;Centres;Centres ratés;Dégagements;But concédé;Ballon perdu;Passe>Tir;Passe perfo;Dépossédé;Plonge&stop;Nb matchs gagnés;Erreur>But;Diff de buts;Grosse occas manquée;Balle non rattrapée;Bonus moy;Malus moy;Index MPGStats;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Pedro;A;10;2;;;28,57;;10;10;10;10;21;21;10;10;4,71;4,7;4,96;433,5;14;10;37;0,43;0,48;0,64;1;1;3;0,29;0,4;0,43;427;368;1642;30,5;36,8;44,38;427;547;6;10;4,5;4,5;6;4,5;5;4,5;4,5;4,5;4,5;4,5;0;4,5;4,5;5;0;5;5,5;6;5;5;5;5;4,5;5;4,5;4,5;7;5;5;5;5,5;5,5;4,5;6;4,5;6;5,5;4;1,5;;;;;1;7;5;;0,8674;305;1;8;50,91;4;;;9;7;8;6;1;6;61;7;7;9;;-1;;-3;1;13;36,16;-20,21;1,16;4,75;Lazio;Empoli;ven. 22/12 18:30;52,08333333;0,58021;0,57897;0,60061
M'Bala Nzola;A;8;-1;;13;66,67;19,05;12;14;17;21;12;14;10;10;4,69;4,69;4,81;411,44;16;16;32;0,63;0,63;1,13;1;1;7;0,56;0,56;0,72;874;874;2177;54,63;54,63;68,03;874;311;5,5;8;4,5;4,5;4,5;4,5;6;4,5;4,5;4,5;4,5;6;5;4;4;4;4,5;5,5;5;2,5;4;6;4,5;0;0;5;3;6;0;3,5;6,5;4,5;7,5;4;0;0;0;0;5,5;4;2;;;;2;;17;13;3;0,8229;323;;5;32,58;25;;;3;13;2;;13;9;95;12;12;23;;3;;7;2;40;53,68;-37,53;-0,19;0;Fiorentina;Monza;ven. 22/12 20:45;39,5256917;0,57988;0,55619;0,58292
Jovane Cabral;A;9;-1;;12;52,38;4,76;12;12;14;23;12;12;20;20;4,68;4,5;4,68;446,55;11;1;11;0,96;0;0,96;1;0;1;0,73;0;0,73;668;4;668;60,73;4;60,73;668;668;7;9;4,5;0;4;0;0;0;5;5;4,5;3,5;5;7;5;3,5;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;25;14;6;0,7597;381;1;8;43,24;18;;;14;8;13;8;2;12;103;10;10;14;;-8;;-20;1;23;114,55;-118,42;-1,26;0;Salernitana;Milan;ven. 22/12 20:45;13,24503311;0,31064;0,31557;0,3061
Azmoun Sardar;A;9;-2;;;23,81;;11;11;;;17;20;11;11;4,68;4,75;4,68;480,82;11;8;11;0,56;0,65;0,56;1;1;1;0;0;0;209;189;209;19;23,63;19;209;209;6;9;4,5;4,5;4,5;4,5;4;6;4,5;5,5;0;4,5;4,5;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;2;7;3;;0,5626;112;2;4;41,94;3;;;2;10;;;3;1;32;3;3;4;;3;;8;1;4;34,49;-15,89;1,72;0;Roma;Napoli;sam. 23/12 20:45;34,36426117;0,55312;0,57623;0,55032
Maric Mirko;A;7;3;;7;4,76;4,76;7;7;7;7;7;7;7;7;4,67;4,75;4,67;370,33;9;2;9;0,61;0,35;0,61;1;0;1;0,11;0;0,11;234;70;234;26;35;26;234;234;6;7;4,5;5;0;6;0;0;4,5;0;0;0;4;4,5;5;0;4,5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;6;2;1;0,7747;130;2;1;44,44;4;;;2;6;1;1;3;2;33;5;5;2;;;;-2;1;8;37,52;-19,78;2,73;0;Monza;Fiorentina;ven. 22/12 20:45;36,36363636;0,46642;0,45825;0,45092
Kaio Jorge;A;8;3;;8;14,29;9,52;8;8;8;8;8;8;8;8;4,64;4,67;4,64;466,14;7;6;7;0,48;0,52;0,48;1;1;1;0,29;0,33;0,29;230;225;230;32,86;37,5;32,86;230;230;5,5;8;5,5;5;4,5;4;4,5;4,5;0;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;1;;;;;5;5;1;0,7025;90;;1;34,62;3;;;1;5;1;1;;4;28;2;2;4;;-2;;-4;3;6;39,14;-30,03;3,53;0;Frosinone;Juventus;sam. 23/12 12:30;18,69158879;0,35356;0,34762;0,3572
Cheddira Walid;A;9;1;;9;33,33;4,76;9;9;9;9;9;9;9;9;4,57;4,4;4,57;436,71;14;5;14;0,78;0,22;0,78;1;0;1;0,57;0,2;0,57;747;127;747;53,36;25,4;53,36;747;747;7;9;4,5;4;4,5;4,5;4,5;0;4;4;5;4,5;4;4;7;4,5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;1;;;1;1;16;7;3;0,6225;234;;1;36,9;7;;;1;5;2;2;7;14;88;5;5;11;;-2;;-4;4;24;51,26;-34,59;0,59;0;Frosinone;Juventus;sam. 23/12 12:30;18,69158879;0,35356;0,34762;0,3572
Thorsby Morten;MD;8;-3;;;;;11;11;9;9;10;10;11;11;4,55;0;4,55;393,82;11;0;11;0,99;0;0,99;1;0;1;0,36;0;0,36;578;0;578;52,55;0;52,55;578;578;7;8;0;0;0;4;4,5;5;0;4;4;5;7;0;4,5;4,5;4,5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;2;4;2;;0,5751;243;2;5;43,56;16;;;9;8;6;4;7;13;87;4;4;8;;-3;;-4;1;14;93,23;-120;-16,65;0;Genoa;Sassuolo;ven. 22/12 18:30;31,25;0,35721;0,363;0,36619
Bonazzoli Federico;A;7;-1;;;23,81;;9;9;7;10;8;9;9;9;4,54;0;4,63;382,92;13;0;23;0,69;0;0,64;1;0;2;0,38;0;0,35;537;0;919;41,31;0;39,96;537;460;6;7;0;0;4,5;5;4;4,5;4,5;5;4,5;0;4;4;4,5;4;4;6,5;0;0;0;0;0;0;0;0;5;0;4,5;0;4,5;0;0;4,5;4;4,5;0;4,5;4,5;5,5;1;;;;;;19;12;7;0,792;292;2;;53,49;4;;;3;10;5;5;1;6;69;5;5;7;;-6;;-9;1;21;46,54;-32,88;1,69;0;Verona;Cagliari;sam. 23/12 18:00;42,55319149;0,36148;0,36176;0,3563
Simeone Giovanni;A;8;-1;;;38,1;;10;11;11;11;33;33;10;10;4,46;0;4,52;392,58;12;0;29;0,58;0;0,66;1;0;3;0,17;0;0,1;258;0;503;21,5;0;17,34;258;168;6;8;0;4,5;0;0;4;4,5;4,5;4;4,5;4;6;4;0;4,5;4;5;6;4;5;5;4;0;4,5;0;0;4;3;4,5;4,5;4,5;5;4;0;4,5;6;4,5;0;0;;;;;;;13;7;4;0,6206;100;;;44,74;5;;;1;3;2;;1;2;28;3;3;3;;2;;10;1;9;29,52;-18,89;1,78;6;Napoli;Roma;sam. 23/12 20:45;40,16064257;0,70781;0,6883;0,69322
Gyasi Emmanuel;A;9;-1;;;14,29;;9;9;11;11;13;16;9;9;4,46;4,5;4,62;376,5;12;2;34;0,58;0;0,64;1;0;3;0,25;0;0,74;326;15;2116;27,17;7,5;62,24;326;705;6;9;4,5;4,5;0;4;4,5;4;4,5;6;5;0;4;0;0;4;4,5;4;4;3,5;5;5;5;6;4;4,5;4;4,5;5;4,5;5;4;5,5;5;5;0;4;4;5;5;1;;;;;;9;6;;0,8864;134;1;1;28,3;14;;;8;9;5;3;2;5;36;3;3;11;;-4;;-7;4;7;35,63;-35,7;1,05;0;Empoli;Lazio;ven. 22/12 18:30;24,69135802;0,38651;0,36749;0,35526
Çuni Marvin;A;8;-2;;11;52,38;9,52;10;11;8;8;10;11;8;8;4,45;0;4,45;385,36;11;0;11;0,93;0;0,93;1;0;1;0,55;0;0,55;458;0;458;41,64;0;41,64;458;458;6,5;8;0;0;4;0;4;6,5;4;6;0;3,5;4;4,5;0;4,5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;9;3;4;0,6623;183;1;3;38,55;9;;;4;6;2;2;;6;61;4;4;10;;-4;;-8;3;19;48;-38,92;1,25;0;Frosinone;Juventus;sam. 23/12 12:30;18,69158879;0,35356;0,34762;0,3572
Ikwuemesi Chukwubuikem;A;8;-1;;10;28,57;9,52;10;10;;;10;10;8;8;4,42;4,56;4,42;427,42;12;8;12;0,87;1,05;0,87;1;1;1;0,42;0,63;0,42;518;416;518;43,17;52;43,17;518;518;6;8;4;4,5;3;5;6;4;4;6;0;0;0;4;4;4;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;1;;12;6;3;0,7669;161;1;;33,72;13;;;;7;2;2;4;11;61;5;5;10;;-6;;-14;2;24;43,25;-39,35;1,1;0;Salernitana;Milan;ven. 22/12 20:45;13,24503311;0,31064;0,31557;0,3061
Pirola Lorenzo;DC;10;1;;;;;10;10;14;15;10;10;10;10;4,14;4,5;4,6;467,07;14;7;34;0,99;1,15;1,11;1;1;3;0,93;1;0,94;1110;627;2659;79,29;89,57;78,21;1110;886;4;10;4;3,5;3;6;6;4,5;4,5;0;3;5;3,5;4;3;4;4;0;4,5;4,5;4,5;6;4,5;3,5;5;6,5;5;5;4;6;5,5;6;7;4,5;5;0;0;4,5;2;5;1;;;;;;9;3;;0,8308;734;10;11;54,46;16;;;21;28;;;50;23;115;;;5;;-9;;-22;1;2;112,73;-196,93;-21,86;5,5;Salernitana;Milan;ven. 22/12 20:45;13,24503311;0,31064;0,31557;0,3061
Ravaglia Federico;G;7;0;;7;57,14;19,05;7;7;7;7;7;7;8;8;6,5;6,5;6,5;551;1;1;1;0;0;0;0;0;0;1;1;1;90;90;90;90;90;90;;;;1000;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;0;0;;;;;;;;2;1;;;;;;;;;;;1;1;;2;;;147;;29,7;0;Bologna;Atalanta;sam. 23/12 15:00;37,31343284;0,55454;0,58755;0,5726
